"Device","Time","HR","HRV15"
1,0.275102138519,51.7082179132,119508.943878
1,1.38492417336,55.1144937996,70097.8010204
1,2.49312114716,58.8853838065,2863.35204082
1,3.23283910751,58.8853838065,2863.35204082
1,4.34319210052,59.1174607643,2486.78061224
1,5.4530210495,59.4521905301,1950.45408163
1,6.19314002991,59.807760769,1617.0255102
1,7.3030500412,60.427307388,1597.92346939
1,8.41296410561,60.7243548037,1602.78061224
1,9.1531291008,60.8651546989,1456.16836735
1,10.2633531094,60.427307388,1751.06632653
1,11.3730499744,59.9272312192,1948.73979592
0,12.848085165,inf,0.0
0,13.59425807,inf,0.0
0,14.704223156,inf,0.0
0,15.8073539734,inf,0.0
0,16.5542299747,inf,0.0
0,17.6644620895,inf,0.0
0,18.7672271729,inf,0.0
0,19.5146770477,inf,0.0
0,20.6245660782,inf,0.0
0,21.7345480919,inf,0.0
0,22.8374199867,inf,0.0
0,23.5844631195,inf,0.0
0,24.694466114,inf,0.0
0,25.7975730896,inf,0.0
0,26.5447051525,inf,0.0
0,27.6545732021,inf,0.0
0,28.7576889992,inf,0.0
0,29.5037519932,inf,0.0
0,30.613628149,inf,0.0
0,31.7237901688,inf,0.0
0,32.8276891708,inf,0.0
0,33.5741159916,inf,0.0
0,34.6837310791,inf,0.0
0,35.7877759933,inf,0.0
0,36.5347511768,inf,0.0
0,37.6448771954,inf,0.0
0,38.7479600906,inf,0.0
0,39.4940350056,inf,0.0
0,40.6039600372,inf,0.0
0,41.7149200439,inf,0.0
0,42.817907095,inf,0.0
0,43.5639560223,inf,0.0
0,44.6741681099,inf,0.0
0,45.7779619694,inf,0.0
0,46.5250871181,inf,0.0
0,47.6349050999,inf,0.0
0,48.7381820679,inf,0.0
0,49.8480169773,inf,0.0
0,50.5945081711,inf,0.0
0,51.7041621208,inf,0.0
0,52.8086190224,inf,0.0
0,53.5541410446,inf,0.0
0,54.6642231941,inf,0.0
0,55.7682781219,inf,0.0
0,56.5145800114,inf,0.0
0,57.6243209839,inf,0.0
0,58.7283470631,inf,0.0
1,60.2135770321,inf,0.0
1,61.3236410618,inf,0.0
1,62.4335031509,inf,0.0
1,63.1736750603,inf,0.0
1,64.2835481167,inf,0.0
1,65.3938751221,inf,0.0
