"Device","Time","HR","HRV15"
1,1344382517.47,59.2049619397,840.244897959
0,1344382517.5,179.910044978,35163.9642857
0,1344382518.58,179.910044978,35163.9642857
1,1344382520.05,59.6252129472,650.775510204
1,1344382522.27,61.4754098361,5472.0
1,1344382524.12,64.9350649351,23408.0
1,1344382525.97,64.397424103,24702.7755102
1,1344382528.19,64.9350649351,24141.7142857
0,1344382528.95,116.006076509,167457.882653
0,1344382529.3,100.131124091,173467.882653
0,1344382529.68,96.3192294462,162603.352041
0,1344382529.69,84.4645550528,142474.943878
0,1344382529.7,110.628210194,30244.6581633
0,1344382531.15,109.360760318,30414.372449
1,1344382532.26,65.6044985942,23368.244898
1,1344382533.0,65.2579241765,24504.8163265
0,1344382533.78,120.326600774,11083.2295918
0,1344382534.49,116.262975779,8133.6377551
0,1344382535.6,116.780202975,2627.0255102
0,1344382536.71,119.709277469,1313.31122449
0,1344382538.18,122.574055158,354.25
0,1344382538.56,121.862759321,628.943877551
0,1344382539.67,118.89596603,1861.80102041
0,1344382540.78,116.521015397,2174.78061224
