"Device","Time","HR","HRV15"
0,1344381976.54,70.8920584016,497403.515306
0,1344381976.91,94.3290286356,115747.352041
0,1344381978.38,118.761487346,61485.3112245
0,1344381978.75,118.093631379,60062.7806122
0,1344381979.86,115.814145871,65981.3520408
0,1344381980.97,115.178938708,66921.3520408
0,1344381982.08,115.942028986,48840.5357143
1,1344381983.56,108.47107438,1525.55102041
1,1344381984.3,107.747562853,1536.40816327
1,1344381985.41,107.747562853,1646.12244898
1,1344381986.52,105.421686747,812.408163265
1,1344381987.26,107.142857143,678.857142857
1,1344381988.37,106.653123413,682.530612245
1,1344381989.48,103.857566766,1537.63265306
1,1344381990.96,104.842735896,1703.91836735
1,1344381991.33,105.157736605,1644.81632653
1,1344381992.44,105.210420842,1658.7755102
1,1344381993.55,105.105105105,1548.40816327
1,1344381994.29,103.49926072,2659.34693878
1,1344381995.4,101.596516691,3121.3877551
1,1344381996.51,100.574712644,2989.3877551
1,1344381997.26,101.107366394,2568.24489796
1,1344381998.36,101.547388781,2627.26530612
1,1344381999.48,101.498308362,2521.55102041
0,1344382002.06,105.039389771,20567.8826531
1,1344382003.54,101.253616201,2461.3877551
1,1344382005.79,113.177041229,14938.5510204
1,1344382005.88,101.278032313,44426.3877551
1,1344382006.51,107.170196479,80172.2653061
1,1344382008.35,99.5024875622,105071.857143
1,1344382010.57,0,0.0
1,1344382012.79,0,0.0
1,1344382014.27,0,0.0
1,1344382016.49,0,0.0
1,1344382019.45,0,0.0
1,1344382022.79,125.861552292,6259.20408163
1,1344382023.54,136.363636364,10886.2857143
1,1344382026.49,125.786163522,37809.0
