"Device","Time","HR","HRV15"
0,1360090689.48,153.368632463,13483.8826531
0,1360090690.21,160.51977833,13089.3112245
0,1360090691.32,153.592978607,20836.372449
1,1360090692.43,0,0.0
0,1360090694.64,152.69950918,21013.9234694
0,1360090696.49,95.3137410643,731099.964286
0,1360090698.71,95.3137410643,731099.964286
0,1360090700.56,70.4638872578,1191305.96429
0,1360090703.52,57.2792362768,1245721.39286
0,1360090706.48,56.9993892923,1241164.08673
0,1360090706.85,51.50530382,1252216.20918
0,1360090707.6,51.50530382,1252216.20918
0,1360090708.7,46.0703120715,1250940.08673
0,1360090709.44,45.1394486539,1227317.31122
0,1360090710.55,44.4515002381,1206067.02551
0,1360090713.14,42.0063009451,1145870.08673
0,1360090715.37,39.5908940944,1057519.67857
