"Device","Time","HR","HRV15"
0,1372373154.62,66.2199448167,42743.6377551
0,1372373155.73,70.8442270389,64078.2091837
0,1372373157.58,84.7714199213,86163.8826531
0,1372373159.8,88.7855406405,69442.1683673
0,1372373161.65,91.9338951516,55494.372449
0,1372373162.76,92.8689883914,51503.6377551
0,1372373164.61,85.461389765,51087.6377551
0,1372373164.61,80.5755395683,41095.5153061
0,1372373165.72,79.1183950268,40533.2295918
0,1372373166.83,78.732777205,40992.2091837
0,1372373168.68,80.3289662427,56185.6377551
