"Device","Time","HR","HRV15"
0,0.173635959625,68.0878657696,809.31122449
0,2.39227509499,69.5076541167,1726.73979592
0,4.24022316933,70.6060351349,2654.45408163
0,6.46028709412,72.2332100783,2124.37244898
0,8.31015205383,72.1587492483,2122.53571429
0,10.1603629589,72.8344749848,1221.59693878
0,12.3804080486,73.8331721895,1220.08673469
0,15.3403940201,73.6519070583,1277.51530612
0,17.1906440258,73.2153752288,1298.53571429
0,19.4106891155,73.2409102799,1272.45408163
0,21.26060009,74.1459969989,911.596938776
0,23.4806251526,74.1459969989,921.882653061
0,25.3306870461,73.9892539417,875.352040816
0,26.4401581287,73.7553779963,843.392857143
0,27.1802780628,74.0936755755,892.739795918
0,28.2900240421,74.3034055728,700.25
0,29.4002900124,74.461483911,599.596938776
0,30.140378952,74.9665327979,404.943877551
0,31.2500770092,74.9933041693,390.209183673
0,32.3602480888,74.2771244142,777.025510204
0,33.472769022,73.9892539417,900.494897959
0,34.2102980614,73.9111306643,857.025510204
0,35.3203649521,73.600280382,675.31122449
0,36.4302799702,73.2153752288,577.964285714
0,37.1702570915,72.885032538,701.596938776
0,38.2803349495,72.5827356779,551.229591837
0,39.3903360367,72.183552462,615.882653061
0,40.1305060387,71.6173586836,1016.73979592
0,41.2402441502,70.9639266706,1577.67857143
0,42.3502690792,70.3930277382,1331.80102041
0,43.4603121281,70.0175043761,1344.20918367
0,44.2003371716,69.8544698545,1420.49489796
0,45.312816143,69.715329073,1617.22959184
0,46.4204449654,69.5306679911,1371.35204082
0,47.1602630615,69.4157507644,1249.51530612
0,48.2740290165,69.3698901643,1221.35204082
0,49.3804211617,69.4846554719,1253.39285714
0,50.120331049,69.6459663378,1434.25
0,51.2300920486,69.5306679911,1479.35204082
0,52.3403480053,69.5998011434,1406.49489796
0,53.4528779984,70.0876095119,1035.35204082
0,54.1903960705,70.2752447084,998.454081633
0,55.3002791405,70.3458671803,949.352040816
0,56.4102940559,70.3930277382,910.086734694
0,57.1502859592,70.181301696,975.352040816
0,58.2603399754,69.8777140005,924.943877551
0,59.3703501225,69.5998011434,888.209183673
0,60.1198689938,69.3469825807,903.025510204
0,61.2204010487,69.4616720417,993.025510204
0,62.3303990364,69.2555033391,771.515306122
0,63.4408500195,68.9825080069,618.454081633
0,65.290817976,69.0959940775,527.229591837
0,67.1408550739,69.4616720417,845.596938776
0,69.3614871502,70.2047638947,784.943877551
0,72.3208291531,70.7011194344,618.37244898
0,74.1707620621,70.4166317378,723.923469388
0,76.3909239769,70.5112062453,711.923469388
0,78.2407729626,70.6773243584,897.352040816
0,80.4613890648,70.3694395577,645.229591837
0,82.3102440834,70.9399543957,780.739795918
0,83.4208459854,70.796460177,795.678571429
0,84.1605360508,70.4402515723,1175.88265306
0,85.2707569599,70.5823040081,1065.92346939
0,86.3805439472,70.4638872578,977.964285714
0,87.1209800243,70.3930277382,981.515306122
0,88.2301709652,70.8203355535,1092.45408163
0,89.3403980732,71.18040844,981.637755102
0,90.450715065,71.011919858,905.923469388
0,91.1902410984,70.9399543957,915.025510204
0,92.3005139828,70.796460177,933.392857143
0,93.4103410244,70.181301696,1049.06632653
0,94.1504919529,69.7848301072,1055.31122449
0,95.2601060867,69.970845481,1108.53571429
0,96.3709201813,70.5348895793,807.801020408
0,97.1107759476,71.3496984626,1170.49489796
0,98.2202470303,71.7396874199,1240.37244898
0,99.3303360939,81.8314661471,42785.8826531
0,100.440341949,91.2151156477,61585.3112245
0,101.18082118,91.2151156477,61585.3112245
0,102.29036808,91.2151156477,61585.3112245
0,103.400886059,91.2151156477,61585.3112245
0,104.140269041,91.2151156477,61585.3112245
0,105.250602007,97.7539858024,72918.4540816
0,106.360237122,97.7539858024,72918.4540816
0,107.100339174,97.7539858024,72918.4540816
0,108.210437059,97.7539858024,72918.4540816
0,109.320361137,97.7539858024,72918.4540816
0,110.430382013,105.940219448,78426.9438776
0,111.170264959,105.940219448,78426.9438776
0,112.280861139,105.940219448,78426.9438776
0,113.390295982,105.940219448,78426.9438776
0,114.13074398,105.940219448,78426.9438776
0,115.24079299,116.39185257,76995.6785714
0,116.350337982,116.39185257,76995.6785714
0,117.090728998,101.192627394,213236.780612
0,118.200551987,101.192627394,213236.780612
0,119.310269117,90.7813682049,364925.923469
0,120.420783043,95.0118764846,367116.25
0,121.160521984,92.745942365,374669.637755
0,122.270339012,89.6956753871,387652.780612
0,123.380711079,84.6347607053,385978.494898
0,124.120406151,79.6888340765,385984.780612
0,125.230385065,73.9892539417,369753.066327
0,126.340759039,70.0642255401,360245.515306
0,127.080794096,65.5379574003,330445.964286
0,128.190557003,61.5971254675,291111.066327
0,129.300418139,58.2968977722,245271.596939
0,130.410935163,55.1869128178,192698.739796
0,131.15053916,58.9184260363,131937.229592
0,132.26101017,63.8055450057,41200.9438776
0,133.370790958,61.4529226717,26631.2295918
0,134.110885143,58.852378617,1355.67857143
0,135.220944166,59.0343664347,1656.94387755
0,136.330698967,59.6379126731,1167.6377551
0,137.077402115,59.1507640307,1097.80102041
0,138.180785179,59.4353640416,1165.10714286
0,139.290536165,59.4690265487,1125.35204082
0,140.400496006,59.3681532264,1294.08673469
0,141.140423059,59.6209809071,1212.65816327
0,142.250853062,59.6379126731,1206.49489796
0,143.360557079,59.1507640307,1534.37244898
0,144.100844145,59.1507640307,1534.37244898
0,145.210445166,59.217483257,1556.73979592
0,146.320477962,59.6718050721,2302.82142857
0,148.170433998,60.3578357405,3059.6377551
0,149.280840158,59.9614533514,3015.51530612
0,150.390388966,59.4521905301,3325.31122449
0,151.13038516,59.7227159616,3096.08673469
0,152.24041605,59.858904012,3317.80102041
0,153.35039115,60.3578357405,3586.49489796
0,154.090780973,60.9711838572,3347.92346939
0,155.200721025,61.113132048,3397.88265306
0,156.310387135,61.2914994528,3314.20918367
0,158.160900116,62.015503876,2288.82142857
0,159.2707901,62.3099176619,2299.92346939
0,160.380450964,62.6818894112,3082.45408163
0,161.120344162,62.9449231922,3436.16836735
0,162.230839968,63.4776694627,2879.59693878
0,163.340656042,63.8637573177,1729.39285714
0,164.080445051,63.1911532385,4239.39285714
0,165.190494061,63.1911532385,4239.39285714
0,166.300759077,62.2914349277,6396.45408163
0,168.150685072,61.3810741688,6833.10714286
0,169.260830164,61.3272979485,6805.80102041
0,170.370561123,61.2378800029,6822.73979592
0,171.110623121,61.2914994528,6831.92346939
0,172.220649958,61.113132048,6756.73979592
0,173.331022978,61.113132048,6756.73979592
0,174.070389032,60.4621032174,5951.80102041
0,175.18051815,59.6548540587,4956.16836735
0,176.290498018,58.7371512482,4307.39285714
0,177.400362015,58.1999584286,3699.92346939
0,178.140611172,58.1194215734,3646.65816327
0,179.251135111,58.802940147,2935.22959184
0,180.360569954,59.5871462013,2307.92346939
0,181.101106167,60.1676097701,2348.16836735
0,182.210886002,60.6016881899,2977.35204082
0,183.320451975,60.8298935477,3120.08673469
0,184.061017036,60.5842048323,3181.22959184
0,185.17042017,60.3404927807,3394.37244898
0,186.280421019,60.0815392318,3167.22959184
0,187.390905142,60.0643546657,3182.20918367
0,188.130494118,60.444700295,2978.37244898
0,189.241080046,60.9888913091,2043.31122449
0,190.350381136,61.5069195284,1672.82142857
0,191.090639114,61.7965129111,1510.20918367
0,192.200709105,62.0338232036,1681.59693878
0,193.310441971,62.2914349277,2083.31122449
0,194.050784111,62.7380685637,3122.65816327
0,195.160828114,63.1721440927,3807.0255102
0,196.270513058,63.3054487904,4026.16836735
0,197.380455017,64.511174257,4517.35204082
0,198.12056303,65.3543919707,3583.06632653
0,199.230664015,65.3747373336,3537.31122449
0,200.340962172,66.1157024793,2665.96428571
0,201.081047058,66.5346534653,2399.0255102
0,202.190478086,66.93760459,1943.80102041
0,203.300493956,67.2591880855,1774.20918367
0,204.040508986,68.8242523556,3213.59693878
0,205.150462151,68.8242523556,3213.59693878
0,206.260754108,67.3022994952,5552.82142857
0,207.370699167,66.93760459,5504.94387755
0,208.110646009,66.5768407704,5652.73979592
0,209.220993996,66.5768407704,5652.73979592
0,210.330662012,66.1990700607,5284.65816327
0,211.070703983,65.8875205899,5288.94387755
0,212.180722952,66.0117878193,5034.49489796
0,213.290513992,65.8462020851,4983.88265306
0,214.030620098,65.6609083092,4950.45408163
0,215.140459061,65.3747373336,5072.16836735
0,216.250530005,64.9300456056,5161.06632653
0,217.360789061,64.829821718,5058.82142857
0,218.100754976,64.9702219816,1133.39285714
0,219.210517168,65.3747373336,1369.31122449
0,220.320744991,65.3137392116,1387.80102041
0,221.06082201,65.1718519668,1557.22959184
0,222.170691967,64.7498651044,1621.51530612
0,223.280629158,64.6104145835,1582.94387755
0,224.390537024,64.5905420992,1589.92346939
0,225.13055706,64.9501275806,1490.73979592
0,226.24053812,65.1112316875,1598.82142857
0,227.350646019,65.1112316875,1598.82142857
0,228.09098506,65.1112316875,1598.82142857
0,229.201020002,65.4766544548,1423.22959184
0,230.310891151,65.3747373336,1400.16836735
0,231.051041126,64.6900269542,1035.67857143
0,232.160772085,64.2939150402,688.739795918
0,233.270610094,64.2152740616,709.801020408
0,234.381183147,64.6104145835,658.37244898
0,235.120728016,65.1920838184,848.943877551
0,236.230566978,65.7019945248,1345.88265306
0,237.340505123,66.2408327419,1620.73979592
0,238.080432177,66.4925195915,1813.22959184
0,239.190893173,66.4504390475,1764.49489796
0,240.301043034,66.6190816084,1576.08673469
0,241.040982962,66.7037242913,1594.53571429
0,242.150979996,66.7461263409,1576.49489796
0,243.260584116,67.1516508114,1339.96428571
0,245.110660076,70.8203355535,19254.1683673
0,246.220759153,73.8591400686,31648.372449
0,247.330569983,72.9103376443,33498.7806122
0,248.070896149,79.148214454,56999.6377551
0,249.180994987,78.4680056049,59623.5153061
0,250.291316986,78.5560647152,59401.0255102
0,251.030663967,78.9993416722,58240.8214286
