"Device","Time","HR","HRV15"
1,1344379639.87,95.7919945262,216843.515306
0,1344379640.98,103.49926072,65191.9183673
0,1344379642.09,105.95358224,50447.3469388
0,1344379642.83,111.524163569,46954.8571429
1,1344379645.05,115.559224102,154242.168367
1,1344379646.53,130.576713819,80399.6785714
1,1344379648.39,116.910229645,89115.0255102
1,1344379650.6,118.560338744,46359.0663265
1,1344379653.56,104.777348135,61912.0867347
1,1344379655.41,100.804032161,75729.0255102
1,1344379657.63,101.879927229,93143.6377551
1,1344379659.48,88.3002207506,222078.535714
1,1344379662.44,79.1183950268,287578.943878
1,1344379665.4,74.1459969989,315305.311224
1,1344379667.63,75.9974667511,278093.678571
1,1344379668.37,74.2771244142,274157.02551
1,1344379669.49,74.2771244142,274157.02551
