"Device","Time","HR","HRV15"
0,1354210472.59,71.9609354922,327842.454082
0,1354210472.96,72.885032538,327324.454082
0,1354210474.07,69.4616720417,300101.02551
0,1354210474.81,75.8054327227,267057.392857
0,1354210475.92,89.4282976685,46222.2091837
0,1354210477.03,84.6006647195,31055.5969388
1,1354210478.51,31.0559006211,3026740.57143
1,1354210479.62,32.7408793265,3108328.81633
1,1354210480.73,32.080659945,3011521.63265
1,1354210481.47,31.640801567,2944270.77551
1,1354210482.58,33.2278481013,2907491.91837
1,1354210484.06,42.042042042,1607044.97959
1,1354210484.43,62.7240143369,343645.387755
1,1354210485.54,76.169749728,25566.7755102
1,1354210486.65,81.9672131148,5785.14285714
1,1354210487.76,84.9858356941,6548.0
1,1354210488.51,86.4553314121,5300.0
1,1354210489.61,86.7768595041,4964.24489796
1,1354210490.72,87.1007880547,4635.83673469
1,1354210491.46,86.7052023121,5312.0
1,1354210492.57,86.741016109,5281.06122449
1,1354210493.68,85.6793145655,6103.91836735
1,1354210494.43,83.3002776676,7767.91836735
1,1354210495.53,81.6167897396,8014.12244898
1,1354210496.64,80.5523590334,6848.40816327
1,1354210497.75,79.2153904187,5763.67346939
1,1354210498.49,77.6053215078,3031.83673469
1,1354210499.6,77.7489818586,3358.7755102
1,1354210500.71,79.185520362,5480.48979592
1,1354210501.82,80.4906094289,5617.3877551
1,1354210502.56,80.8625336927,5359.42857143
1,1354210503.67,80.3366488141,6268.40816327
1,1354210504.41,80.0,6881.71428571
1,1354210505.89,79.9086757991,7024.97959184
1,1354210507.0,79.3350963355,8375.91836735
1,1354210507.74,79.4251134644,8285.3877551
1,1354210508.48,78.6811539903,9185.3877551
1,1354210509.59,77.1491550331,9423.34693878
1,1354210510.7,76.169749728,8129.06122449
0,1354210511.07,88.7480190174,14193.0663265
1,1354210511.44,74.5473908413,4907.83673469
0,1354210511.81,88.7480190174,14193.0663265
1,1354210512.92,72.9673384295,3807.34693878
0,1354210512.92,88.0041906757,15119.5969388
1,1354210513.66,72.3140495868,4015.34693878
0,1354210514.03,86.0215053763,16903.3928571
1,1354210514.4,71.5015321757,3252.97959184
0,1354210514.77,85.2878464819,16909.3928571
1,1354210515.51,71.5502555366,3219.67346939
0,1354210516.62,84.9772382398,16977.3520408
1,1354210516.62,71.6723549488,3162.12244898
0,1354210517.73,86.0567564799,18776.1683673
1,1354210517.73,73.5551663748,3962.20408163
0,1354210518.47,86.6247292977,17998.372449
1,1354210518.47,73.2217573222,3846.53061224
0,1354210518.84,86.2688713156,18300.8214286
1,1354210519.95,72.4137931034,3773.3877551
0,1354210519.95,84.8742043043,19217.6377551
1,1354210520.69,72.5138121547,3691.10204082
0,1354210521.06,83.9580209895,19699.2295918
1,1354210521.8,72.9419937478,3448.24489796
0,1354210521.8,83.9580209895,19699.2295918
1,1354210522.54,71.9671007539,2931.91836735
0,1354210523.65,83.9580209895,19699.2295918
1,1354210523.65,71.9424460432,2904.57142857
0,1354210524.39,78.0016714644,72307.0255102
1,1354210524.39,72.7146814404,2684.40816327
0,1354210524.76,78.3216783217,72216.7806122
1,1354210525.5,80.0915331808,22686.6938776
0,1354210525.87,80.8858931151,81960.1683673
1,1354210526.98,93.06448039,58293.4897959
0,1354210526.98,83.7571043972,90903.2295918
1,1354210527.72,91.0865322056,65973.4897959
0,1354210528.09,97.3010540948,117353.229592
1,1354210528.46,96.3523743978,66600.9183673
0,1354210528.83,107.678502756,120567.02551
1,1354210529.94,96.3523743978,66600.9183673
0,1354210529.94,128.972823584,32930.4540816
1,1354210530.68,96.3523743978,66600.9183673
0,1354210531.05,128.972823584,32930.4540816
1,1354210531.79,73.1834814428,663831.122449
0,1354210531.79,107.238605898,204651.678571
1,1354210532.9,75.8807588076,675096.918367
0,1354210532.9,112.645836127,203258.943878
1,1354210533.64,75.8807588076,675096.918367
0,1354210534.02,102.67693436,261023.80102
1,1354210534.39,75.8807588076,675096.918367
0,1354210534.75,102.67693436,261023.80102
1,1354210535.49,75.8807588076,675096.918367
0,1354210535.86,90.5465128813,357818.086735
1,1354210536.6,75.8807588076,675096.918367
0,1354210537.71,90.7029478458,358675.392857
1,1354210537.71,54.5950864422,1963202.71429
0,1354210538.45,78.7918581747,409975.392857
1,1354210538.45,54.5950864422,1963202.71429
0,1354210538.82,78.0306549001,403388.780612
1,1354210539.56,54.5950864422,1963202.71429
0,1354210539.93,78.0306549001,403388.780612
1,1354210541.04,54.5950864422,1963202.71429
0,1354210541.05,78.0306549001,403388.780612
1,1354210541.41,54.5950864422,1963202.71429
0,1354210541.78,66.053314461,578610.658163
1,1354210542.52,43.7363323961,2763524.83673
0,1354210542.89,66.053314461,578610.658163
1,1354210543.63,43.7363323961,2763524.83673
0,1354210544.0,66.053314461,578610.658163
1,1354210544.74,41.3182488933,2752284.83673
0,1354210545.48,66.053314461,578610.658163
1,1354210545.48,41.8869053555,2786993.2449
0,1354210545.85,66.053314461,578610.658163
1,1354210546.59,41.8869053555,2786993.2449
0,1354210546.96,48.2065997131,1604618.37245
1,1354210548.07,41.8869053555,2786993.2449
0,1354210548.07,48.2065997131,1604618.37245
1,1354210548.44,41.8869053555,2786993.2449
0,1354210548.81,42.328042328,1711765.10714
1,1354210549.55,41.8869053555,2786993.2449
0,1354210549.92,42.328042328,1711765.10714
1,1354210550.66,33.9833319848,3645835.53061
0,1354210551.03,42.328042328,1711765.10714
1,1354210551.4,33.9833319848,3645835.53061
0,1354210551.77,39.0171396721,1708964.16837
1,1354210552.88,33.9833319848,3645835.53061
0,1354210552.89,39.0171396721,1708964.16837
1,1354210553.62,33.9833319848,3645835.53061
0,1354210555.1,39.1043247521,1705378.37245
0,1354210555.1,39.2872176231,1671783.31122
1,1354210555.47,28.4880960456,4152703.12245
0,1354210555.84,41.166380789,1704180.53571
1,1354210556.95,28.4880960456,4152703.12245
0,1354210556.95,39.9676452396,1621441.88265
1,1354210558.06,28.4880960456,4152703.12245
0,1354210558.06,39.2065344224,1565733.22959
1,1354210558.43,28.4880960456,4152703.12245
0,1354210558.8,39.8463071012,1527889.31122
1,1354210559.54,24.9272953885,4220954.71429
0,1354210559.91,39.031643511,1470657.88265
1,1354210560.65,24.9272953885,4220954.71429
0,1354210561.03,38.2078690016,1406640.08673
1,1354210561.39,24.9272953885,4220954.71429
0,1354210562.5,41.4099087996,1386396.20918
1,1354210562.5,24.9272953885,4220954.71429
0,1354210562.87,60.7594936709,240473.392857
1,1354210563.61,22.5830734488,3954642.69388
0,1354210563.98,68.8693941133,109153.596939
1,1354210564.72,22.5830734488,3954642.69388
0,1354210565.09,78.5560647152,3524.45408163
1,1354210565.46,22.5830734488,3954642.69388
0,1354210565.83,79.2079207921,3142.82142857
1,1354210566.57,21.2722852512,3540539.10204
0,1354210566.94,79.4176042356,3136.82142857
1,1354210567.68,21.3544844417,3581082.77551
0,1354210568.42,79.2677172785,3089.92346939
1,1354210568.42,22.6537216828,3624504.81633
0,1354210569.53,79.3276041175,3068.94387755
1,1354210569.53,25.9323289701,3381962.77551
0,1354210570.64,79.809976247,2722.16836735
1,1354210570.64,29.3870696893,3093487.34694
0,1354210571.38,80.0533689126,2427.96428571
1,1354210571.38,29.5275590551,3118838.85714
0,1354210571.75,79.4777178541,2743.35204082
1,1354210572.86,30.4966598896,3189572.2449
0,1354210572.87,78.4680056049,2747.51530612
1,1354210573.6,30.0601202405,3111988.57143
0,1354210573.98,76.4679107874,3561.80102041
1,1354210574.71,35.4370570368,2351557.55102
0,1354210575.08,73.600280382,9313.59693878
1,1354210575.82,42.8483982861,1492147.34694
0,1354210575.82,71.7642033319,10955.3520408
1,1354210576.56,50.0357398142,780791.265306
0,1354210576.94,72.0349884229,11687.6377551
1,1354210577.67,60.4316546763,282404.979592
0,1354210578.04,69.8777140005,15864.372449
1,1354210578.78,69.3298118191,78810.5306122
0,1354210578.78,69.4616720417,15029.0255102
1,1354210579.89,71.4285714286,82626.2857143
0,1354210579.89,68.9372178908,14791.5153061
1,1354210580.63,72.5388601036,83849.5510204
0,1354210581.0,68.4875662454,14640.494898
1,1354210581.37,71.283095723,80339.9183673
0,1354210582.48,63.7087599545,56969.8826531
1,1354210582.48,68.0272108844,57914.8571429
0,1354210582.85,62.9826797631,54554.9438776
1,1354210583.59,67.5893144512,55847.9183673
0,1354210583.96,61.8147030687,53235.8010204
1,1354210584.7,68.9428759028,55882.7755102
0,1354210585.07,61.6513761468,52567.5969388
1,1354210585.44,68.9428759028,55882.7755102
0,1354210585.81,61.3093934749,51232.9438776
1,1354210586.55,69.7442710063,54988.4897959
0,1354210587.66,61.113132048,50414.4540816
1,1354210587.67,75.6756756757,4711.26530612
