"Device","Time","HR","HRV15"
0,1358534232.01,51.9609056044,867805.632653
0,1358534233.12,55.7140014592,583972.780612
0,1358534234.97,86.5176640231,83055.9642857
0,1358534237.19,86.3753213368,81344.372449
0,1358534239.04,87.6369327074,78205.8010204
0,1358534241.26,91.4933013833,65747.3112245
0,1358534243.11,81.6405870347,36331.3520408
0,1358534244.96,73.4458336976,668.780612245
0,1358534246.07,73.8331721895,538.37244898
0,1358534247.18,74.1721854305,508.780612245
0,1358534249.03,74.2771244142,558.739795918
0,1358534250.14,74.2771244142,558.739795918
0,1358534251.25,73.9371534196,608.25
0,1358534251.99,73.7812911726,538.454081633
0,1358534253.1,73.8072225639,545.352040816
0,1358534254.95,75.0200946682,391.31122449
0,1358534257.17,76.0249796362,695.596938776
0,1358534259.02,82.7015851137,16533.1071429
0,1358534261.24,82.7341672412,16504.1683673
0,1358534263.09,83.2920178483,15643.8010204
0,1358534264.94,83.0942724305,15901.9234694
0,1358534268.27,81.8633661437,16936.2091837
0,1358534269.02,77.7417862101,4102.73979592
