"Device","Time","HR","HRV15"
0,0.0696790218353,65.3137392116,719.229591837
0,2.28540802002,64.7898187428,971.066326531
0,4.13534402847,64.4122383253,911.107142857
0,6.35543107986,64.5309979258,1097.31122449
0,8.20529913902,65.0708807809,1051.6377551
0,10.0551621914,64.8098140576,1048.73979592
0,12.2752020359,64.4715634354,784.37244898
0,14.1253590584,65.2731369959,939.882653061
0,17.0853290558,67.2807368843,1204.45408163
0,19.3054521084,71.1081012444,15749.5969388
0,21.1555161476,76.5515355874,61914.7397959
0,23.0055110455,81.6088603906,78671.8826531
0,25.2254631519,71.3012477718,412389.107143
