"Device","Time","HR","HRV15"
0,1366121498.82,0,0.0
0,1366121500.67,0,0.0
0,1366121502.89,0,0.0
0,1366121504.74,0,0.0
0,1366121507.7,0,0.0
0,1366121508.81,0,0.0
0,1366121510.66,75.7507439805,1609977.63776
0,1366121512.88,192.616372392,11049.9642857
0,1366121514.73,163.519563948,32595.9234694
0,1366121516.95,146.52014652,27020.5357143
0,1366121518.8,143.320252517,29151.8010204
0,1366121521.76,167.164179104,13874.2091837
0,1366121522.87,168.50551655,14706.7806122
0,1366121524.72,168.50551655,14706.7806122
0,1366121527.31,168.50551655,14706.7806122
0,1366121529.9,171.673819742,16110.25
0,1366121531.75,171.673819742,16110.25
0,1366121534.71,181.30800777,16526.7806122
0,1366121536.93,181.30800777,16526.7806122
0,1366121538.78,182.094081942,16870.25
0,1366121540.63,182.094081942,16870.25
0,1366121542.85,191.387559809,17206.25
0,1366121544.7,191.387559809,17206.25
0,1366121547.29,120.395585495,376945.80102
0,1366121548.77,113.314447592,367153.107143
0,1366121550.62,155.988857939,15440.6581633
0,1366121554.69,202.068799615,3855.6377551
0,1366121555.8,192.263675898,4327.35204082
0,1366121557.65,196.032672112,4258.49489796
0,1366121559.87,177.028451001,11904.494898
0,1366121561.72,157.746478873,21528.372449
0,1366121563.94,161.756210283,23957.0663265
0,1366121565.79,154.610712314,20963.3520408
0,1366121567.64,145.909327775,13503.8826531
0,1366121569.86,167.03121893,12687.3112245
0,1366121571.71,203.636363636,8723.80102041
0,1366121573.93,169.73125884,18227.3928571
0,1366121575.78,155.873074782,16539.6377551
0,1366121577.63,161.880901908,10643.2295918
0,1366121579.85,171.393593144,6519.06632653
0,1366121581.7,129.850054104,58219.0663265
0,1366121583.92,116.070194832,66910.494898
0,1366121585.77,111.568601408,64474.4540816
0,1366121587.62,124.168514412,45443.3112245
0,1366121589.84,157.628072809,24824.6581633
0,1366121591.69,175.695461201,18330.25
0,1366121594.65,170.006071645,26832.7806122
0,1366121595.76,157.865062958,34053.6377551
0,1366121598.72,138.044371405,38813.5153061
0,1366121600.57,148.069804336,28020.1683673
0,1366121602.79,142.15603317,25845.9234694
0,1366121604.64,159.302105064,11764.0867347
0,1366121606.86,150.943396226,23718.8214286
0,1366121608.71,144.902535794,25205.9234694
0,1366121610.93,135.200386287,32627.8826531
0,1366121612.78,131.393711872,25324.6581633
0,1366121614.63,150.295222759,20878.1683673
0,1366121617.59,176.285414481,7560.94387755
0,1366121618.7,192.793206335,3208.45408163
