"Device","Time","HR","HRV15"
0,1358533790.08,0,0.0
0,1358533790.82,0,0.0
0,1358533791.93,0,0.0
0,1358533792.29,0,0.0
0,1358533793.4,0,0.0
1,1358533794.15,55.6844547564,167855.392857
0,1358533795.25,0,0.0
0,1358533796.74,0,0.0
1,1358533797.85,71.4711137582,83147.6785714
0,1358533798.21,0,0.0
0,1358533799.32,0,0.0
0,1358533800.43,0,0.0
1,1358533801.18,75.208165458,120166.454082
0,1358533803.03,0,0.0
0,1358533803.39,0,0.0
1,1358533804.14,93.8652363393,121233.02551
0,1358533805.24,0,0.0
0,1358533806.73,0,0.0
1,1358533807.1,83.8239696637,121680.454082
0,1358533808.95,0,0.0
0,1358533809.31,0,0.0
0,1358533810.43,0,0.0
1,1358533811.17,82.5066299971,77983.3112245
0,1358533812.27,0,0.0
0,1358533813.38,0,0.0
1,1358533814.13,81.010704986,78844.0867347
0,1358533815.24,0,0.0
0,1358533816.34,0,0.0
1,1358533817.09,92.5415886306,76264.9438776
0,1358533818.19,0,0.0
0,1358533819.3,0,0.0
0,1358533820.42,0,0.0
1,1358533821.9,134.766565057,26576.1683673
0,1358533822.63,0,0.0
1,1358533823.01,127.099409896,40185.0663265
0,1358533823.75,0,0.0
0,1358533823.75,0,0.0
1,1358533824.12,139.697322468,37517.6785714
1,1358533824.86,127.253446448,52259.6785714
0,1358533825.22,0,0.0
1,1358533825.97,116.780202975,59224.7397959
0,1358533827.08,0,0.0
1,1358533827.08,107.789041447,62006.9438776
0,1358533827.82,0,0.0
1,1358533827.82,112.58544431,64810.494898
0,1358533828.19,0,0.0
1,1358533828.93,105.673669644,67086.1683673
0,1358533829.29,0,0.0
1,1358533830.04,103.588605253,69811.3112245
0,1358533830.4,0,0.0
0,1358533830.78,0,0.0
1,1358533831.17,110.978993262,64555.5153061
1,1358533831.89,101.388050694,56270.7397959
0,1358533832.25,0,0.0
1,1358533833.0,106.80228862,48277.8826531
0,1358533833.74,0,0.0
0,1358533833.74,0,0.0
1,1358533834.12,107.899807322,45168.494898
1,1358533834.86,104.153750775,48093.6377551
0,1358533835.21,0,0.0
1,1358533835.96,101.388050694,60737.5969388
0,1358533837.07,0,0.0
1,1358533837.07,104.25716768,52463.6785714
1,1358533837.81,103.690902358,54028.372449
0,1358533838.17,0,0.0
1,1358533839.28,97.2559916638,47076.7806122
0,1358533839.28,0,0.0
1,1358533840.03,97.8906887309,48931.0663265
0,1358533840.39,0,0.0
0,1358533840.77,0,0.0
1,1358533841.14,99.4671403197,54335.3112245
1,1358533841.88,117.040546189,47673.8010204
0,1358533842.24,0,0.0
1,1358533843.36,119.098256061,35640.4540816
0,1358533843.36,0,0.0
0,1358533843.73,0,0.0
1,1358533844.1,134.593815094,33963.0255102
1,1358533844.84,153.705397987,18284.6581633
0,1358533845.21,0,0.0
1,1358533845.95,149.015433741,19608.372449
0,1358533846.32,0,0.0
1,1358533847.06,133.481646274,36189.1071429
0,1358533847.42,0,0.0
1,1358533847.8,128.972823584,41615.0255102
0,1358533848.17,0,0.0
1,1358533848.91,115.878052145,59118.4540816
0,1358533849.27,0,0.0
1,1358533850.02,113.192292144,59439.6377551
0,1358533850.38,0,0.0
0,1358533850.76,0,0.0
1,1358533851.87,111.925383078,61802.7806122
1,1358533851.87,101.143889223,84472.1683673
0,1358533852.23,0,0.0
1,1358533853.35,95.0979282237,90802.7806122
0,1358533853.35,0,0.0
0,1358533853.72,0,0.0
1,1358533854.09,83.2259982166,67483.6377551
1,1358533855.2,82.6364977865,66780.7806122
0,1358533855.2,0,0.0
1,1358533855.94,84.1936453844,69721.8010204
0,1358533856.3,0,0.0
1,1358533857.05,98.4413453651,73598.25
0,1358533857.41,0,0.0
1,1358533857.79,97.3010540948,71154.372449
0,1358533858.16,0,0.0
1,1358533858.9,103.232149441,78675.0255102
0,1358533859.26,0,0.0
1,1358533860.01,107.07456979,60061.5153061
0,1358533860.75,0,0.0
