"Device","Time","HR","HRV15"
0,0.683129072189,62.874251497,1235.91836735
0,2.53034901619,62.2960545832,2025.55102041
0,4.38010907173,61.6197183099,2157.06122449
0,6.6006321907,61.0642628671,1914.53061224
0,9.56032299995,60.2582496413,965.632653061
0,11.4104700089,59.7609561753,539.428571429
0,13.630710125,60.0514726909,656.408163265
0,15.4806241989,60.4490500864,591.673469388
0,18.4408431053,60.8872136851,332.816326531
0,20.6607241631,61.0820244328,289.632653061
0,22.5113070011,60.8872136851,280.244897959
0,24.3611490726,60.6761051719,462.12244898
0,26.5808041096,60.8519269777,744.571428571
0,28.4306252003,61.9286346211,2713.55102041
0,30.6504020691,67.9941719281,40581.8163265
0,32.500562191,100.816130581,86054.6938776
