"Device","Time","HR","HRV15"
1,1360090979.08,73.677747566,45500.0867347
1,1360090980.19,76.4122623488,47411.0255102
1,1360090981.3,80.1450243297,51000.0867347
1,1360090982.78,96.142840792,67825.6377551
1,1360090983.15,95.7919945262,64217.2295918
1,1360090984.26,104.153750775,56214.2091837
1,1360090985.37,117.630583952,36159.6377551
1,1360090986.11,127.562642369,25453.8010204
1,1360090987.22,119.098256061,32335.3112245
0,1360090987.96,79.0662650602,39091.2653061
1,1360090988.33,112.948769665,46379.8826531
0,1360090988.7,84.6091861402,60266.122449
1,1360090989.07,108.794197643,49124.25
0,1360090989.81,84.8827809216,60183.8367347
1,1360090990.18,106.261859583,44001.2295918
0,1360090990.55,85.1236319416,60183.2653061
1,1360090991.3,120.53379251,58369.3112245
0,1360090991.66,91.9842312746,15747.3469388
1,1360090992.4,117.433244792,58451.9234694
0,1360090992.77,91.9842312746,15747.3469388
1,1360090993.14,125.4292967,52963.5153061
0,1360090993.51,92.3076923077,15560.5714286
1,1360090994.25,137.772675086,28323.1071429
0,1360090994.63,92.1456779289,15664.4081633
1,1360090995.36,137.863121615,28143.8826531
0,1360090995.73,94.0017905103,16031.3469388
1,1360090996.84,129.529683886,37483.8826531
0,1360090996.84,92.1052631579,19793.9591837
1,1360090997.22,122.502552137,44737.8826531
0,1360090997.58,89.2477688058,15461.6326531
1,1360090998.33,115.3054221,46751.2295918
0,1360090998.69,85.020242915,4495.34693878
1,1360090999.07,96.8076524144,46315.8826531
0,1360090999.44,84.9858356941,4502.28571429
1,1360091000.17,90.8599242834,42009.5153061
0,1360091001.65,84.9858356941,4502.28571429
1,1360091001.65,87.4544508069,40507.0663265
0,1360091002.02,85.2272727273,4544.0
1,1360091002.39,85.8106037389,41620.4540816
0,1360091002.76,85.1581508516,4575.67346939
1,1360091003.13,82.5390586617,39011.3520408
0,1360091003.51,84.8484848485,4498.69387755
1,1360091004.24,78.4386964236,27084.7806122
0,1360091004.62,84.2696629213,4774.85714286
1,1360091005.73,71.4224980869,4255.35204082
0,1360091005.73,83.56545961,4714.85714286
1,1360091006.46,70.3694395577,3994.94387755
0,1360091006.47,83.6653386454,698.12244898
1,1360091007.2,69.1870521374,3676.45408163
0,1360091007.58,83.6653386454,698.12244898
1,1360091008.31,68.2205798749,4281.96428571
0,1360091008.68,84.1346153846,627.265306122
1,1360091009.42,67.3022994952,4221.96428571
0,1360091009.8,84.1346153846,627.265306122
1,1360091010.9,66.4084117322,2745.96428571
0,1360091010.9,83.6653386454,666.12244898
1,1360091011.27,69.715329073,24797.8010204
0,1360091011.64,82.4175824176,697.142857143
1,1360091012.38,82.2481151474,93125.6785714
0,1360091012.76,82.482325216,692.244897959
1,1360091013.12,96.8076524144,109216.454082
0,1360091013.49,82.1596244131,755.918367347
1,1360091014.23,99.42004971,101224.821429
0,1360091014.6,81.6802800467,584.244897959
1,1360091015.34,99.42004971,101224.821429
0,1360091015.71,81.9352321498,572.489795918
1,1360091016.08,99.42004971,101224.821429
0,1360091016.46,81.8075574601,524.816326531
1,1360091017.19,0,0.0
0,1360091017.56,80.9248554913,634.530612245
1,1360091018.3,0,0.0
0,1360091018.67,80.4906094289,575.102040816
1,1360091020.15,0,0.0
0,1360091020.53,79.5153351003,572.816326531
1,1360091021.63,0,0.0
0,1360091021.64,78.8584303417,779.836734694
1,1360091022.37,0,0.0
0,1360091022.75,78.8584303417,779.836734694
0,1360091023.49,78.5340314136,701.714285714
0,1360091025.33,78.9177001127,810.204081633
0,1360091026.07,79.0960451977,890.530612245
0,1360091026.44,78.9177001127,778.204081633
0,1360091028.29,79.0960451977,927.102040816
0,1360091030.14,79.7266514806,945.959183673
0,1360091030.51,80.4289544236,794.857142857
0,1360091032.36,80.5214723926,698.12244898
0,1360091032.73,87.8477306003,19966.1428571
0,1360091033.47,88.5142255005,19600.2653061
1,1360091034.59,0,0.0
0,1360091034.59,89.9165061015,19364.3469388
1,1360091035.33,0,0.0
0,1360091035.7,90.5758033211,19081.244898
1,1360091036.44,0,0.0
0,1360091036.44,92.2874093606,18540.8367347
1,1360091037.55,0,0.0
0,1360091037.55,92.6947693666,18293.4897959
1,1360091038.28,41.7059728911,1780223.80102
0,1360091038.66,93.7709310114,17217.4081633
0,1360091040.13,94.1071028456,16790.9591837
1,1360091040.14,101.535114227,358481.066327
0,1360091040.51,95.3895071542,14879.2857143
1,1360091041.24,116.070194832,245398.494898
0,1360091041.62,92.5313945803,13219.5306122
1,1360091042.35,112.58544431,251736.780612
0,1360091043.1,87.5364735306,1532.81632653
1,1360091043.1,105.355575066,257938.25
0,1360091044.2,86.3842040313,1868.81632653
1,1360091044.2,124.536693847,90341.3112245
0,1360091044.58,85.3658536585,1658.12244898
1,1360091045.32,116.006076509,106532.168367
0,1360091046.05,84.8484848485,1529.55102041
1,1360091046.05,106.369507408,114999.923469
0,1360091046.43,83.4990059642,682.530612245
1,1360091047.54,97.3461583034,114559.229592
0,1360091047.54,83.1024930748,516.0
1,1360091048.28,89.3521965748,108060.25
0,1360091048.64,82.7423167849,355.265306122
1,1360091049.75,78.0886864367,77171.2295918
0,1360091049.76,82.6771653543,339.918367347
1,1360091050.12,73.3432288483,54778.494898
0,1360091050.5,82.4499411072,289.06122449
1,1360091051.23,69.8312411672,34071.8826531
0,1360091051.6,81.7120622568,529.632653061
1,1360091052.34,69.5998011434,20002.494898
0,1360091052.71,81.8394388153,469.551020408
1,1360091053.08,80.3904679874,73808.6581633
0,1360091053.46,81.5533980583,549.632653061
1,1360091054.19,89.8107559072,82834.2091837
0,1360091055.31,81.5217391304,557.714285714
1,1360091055.31,99.2321323095,70845.2295918
0,1360091055.67,81.6167897396,576.408163265
1,1360091056.42,99.2321323095,70845.2295918
0,1360091056.42,81.9672131148,724.571428571
1,1360091057.15,99.2321323095,70845.2295918
0,1360091058.27,82.2561692127,867.673469388
1,1360091058.27,99.2321323095,70845.2295918
0,1360091059.37,82.3852491173,906.204081633
1,1360091059.37,99.2321323095,70845.2295918
0,1360091059.75,82.5147347741,946.693877551
1,1360091060.49,0,0.0
0,1360091060.49,82.5147347741,946.693877551
1,1360091061.6,0,0.0
0,1360091061.6,82.6771653543,867.918367347
1,1360091062.33,0,0.0
0,1360091062.71,83.2672482157,589.387755102
1,1360091063.44,0,0.0
0,1360091063.45,83.56545961,431.428571429
1,1360091064.18,0,0.0
0,1360091065.29,84.067253803,317.06122449
1,1360091065.29,0,0.0
0,1360091065.66,84.067253803,317.06122449
1,1360091066.03,0,0.0
0,1360091066.41,81.3638124758,34042.5306122
1,1360091067.15,0,0.0
0,1360091068.25,84.6091861402,46574.6938776
1,1360091068.25,0,0.0
0,1360091068.63,84.6432889964,46578.6938776
1,1360091069.37,0,0.0
0,1360091069.74,84.4730490748,46577.6326531
1,1360091070.1,0,0.0
0,1360091071.21,84.7115772489,46558.7755102
1,1360091071.22,0,0.0
0,1360091071.59,85.7843137255,46465.9591837
1,1360091072.32,0,0.0
0,1360091073.06,86.2068965517,46450.2857143
1,1360091073.06,0,0.0
0,1360091073.44,87.1007880547,46272.4081633
1,1360091074.55,0,0.0
0,1360091074.55,87.1731008717,46259.3469388
1,1360091075.28,0,0.0
0,1360091076.02,93.2090545939,14702.7755102
1,1360091076.02,0,0.0
0,1360091076.4,86.5979381443,194.693877551
1,1360091077.13,0,0.0
0,1360091077.51,86.6336633663,203.102040816
1,1360091078.62,0,0.0
0,1360091078.62,87.0285951098,156.816326531
1,1360091079.35,0,0.0
0,1360091080.09,87.1369294606,120.816326531
1,1360091080.09,0,0.0
0,1360091080.47,86.5265760198,236.816326531
1,1360091081.2,0,0.0
0,1360091082.31,85.9598853868,385.714285714
1,1360091082.31,0,0.0
0,1360091082.69,85.296506905,529.959183673
1,1360091083.43,0,0.0
0,1360091083.43,84.4730490748,525.06122449
1,1360091084.16,0,0.0
0,1360091084.54,84.2358604091,519.918367347
1,1360091085.65,0,0.0
0,1360091085.65,84.2696629213,523.428571429
1,1360091087.12,0,0.0
0,1360091087.12,84.1346153846,574.693877551
1,1360091087.5,0,0.0
0,1360091087.5,83.8323353293,469.632653061
1,1360091088.23,0,0.0
1,1360091089.34,0,0.0
1,1360091090.08,0,0.0
1,1360091091.19,0,0.0
1,1360091092.67,0,0.0
1,1360091093.04,0,0.0
1,1360091094.15,0,0.0
1,1360091095.26,0,0.0
1,1360091097.48,0,0.0
