"Device","Time","HR","HRV15"
0,0.36717915535,inf,0.0
0,1.47384405136,inf,0.0
0,3.32608294487,inf,0.0
1,5.17814707756,57.7041972934,1614.16836735
0,6.28526997566,inf,0.0
1,8.1389541626,56.8450971104,1800.82142857
0,9.24537611008,inf,0.0
1,11.1063380241,57.0458404075,1779.31122449
0,12.2054650784,inf,0.0
0,14.425194025,inf,0.0
0,16.2753009796,inf,0.0
1,18.1291079521,55.2304556513,15107.5153061
0,19.2353949547,inf,0.0
0,21.455422163,inf,0.0
0,23.305629015,inf,0.0
1,25.1582760811,51.5179392824,97367.5153061
0,26.2657060623,inf,0.0
1,28.1184940338,51.4674345935,96577.3112245
0,29.2258870602,inf,0.0
0,31.4457781315,inf,0.0
0,33.295675993,inf,0.0
1,35.1487360001,52.1318190281,86189.6377551
0,36.2561581135,inf,0.0
1,38.1086461544,63.4584875727,64328.5357143
