"Device","Time","HR","HRV15"
0,1372372350.99,95.4870978743,82343.2295918
0,1372372353.21,90.1964995168,74336.1683673
0,1372372355.06,91.0569105691,70235.3520408
0,1372372356.91,118.761487346,80580.7397959
0,1372372359.13,107.623318386,79963.9642857
0,1372372360.98,120.603015075,65322.8214286
0,1372372363.2,107.51311916,84093.3520408
0,1372372365.05,92.0547945205,88545.0255102
0,1372372368.01,82.8974637324,83623.8826531
0,1372372369.12,75.7780784844,58474.7397959
0,1372372370.97,74.8863332442,58779.5969388
0,1372372372.08,73.1643585054,65015.9234694
0,1372372373.19,72.3078247396,66999.0255102
0,1372372373.93,67.8020824925,42807.0663265
0,1372372375.04,67.5838764181,43702.1683673
0,1372372376.15,67.3670703344,44472.372449
0,1372372376.89,67.4319659629,44303.0255102
0,1372372379.11,66.8310923701,45554.4540816
0,1372372379.11,66.5135798559,46043.6377551
0,1372372380.22,66.1990700607,46298.9438776
0,1372372380.96,65.7225569204,46816.2091837
0,1372372382.07,64.019510708,43752.7397959
0,1372372383.18,60.2885236489,6027.88265306
0,1372372383.92,59.7907324365,4944.82142857
0,1372372385.03,59.0177755919,1499.51530612
0,1372372386.88,59.5871462013,951.352040816
0,1372372386.88,59.7907324365,1185.96428571
0,1372372389.1,60.2712204922,1689.96428571
0,1372372389.1,60.9004567534,1676.73979592
0,1372372392.06,61.3452128825,1625.92346939
0,1372372392.15,61.5610113595,1473.51530612
0,1372372393.17,61.4709110867,1469.6377551
0,1372372395.02,61.542970181,1443.35204082
0,1372372395.02,61.924069296,1226.49489796
0,1372372396.13,62.4024960998,783.964285714
0,1372372396.87,62.6071401953,720.658163265
0,1372372399.09,62.644492505,710.454081633
0,1372372399.09,62.6071401953,730.943877551
0,1372372400.2,62.3654317321,825.923469388
0,1372372400.94,61.7965129111,958.780612245
0,1372372402.05,61.5069195284,755.678571429
0,1372372403.9,61.2200276948,593.066326531
0,1372372403.9,61.1665331683,635.066326531
0,1372372405.01,61.3810741688,657.107142857
0,1372372406.86,61.5790631185,851.515306122
0,1372372406.86,61.9423346361,1165.80102041
0,1372372409.08,62.7943485086,3139.10714286
0,1372372409.14,62.9826797631,3288.08673469
0,1372372410.19,62.6818894112,3471.59693878
0,1372372410.93,62.8319246017,3581.6377551
0,1372372412.04,62.8507295174,3578.08673469
0,1372372413.44,63.4010113971,3401.22959184
0,1372372413.89,64.3136053901,3337.92346939
0,1372372415.0,65.030579856,3683.22959184
0,1372372416.11,65.8049353702,3709.59693878
0,1372372416.85,74.5672436751,36350.9438776
0,1372372419.07,81.8314661471,60331.5969388
0,1372372419.07,81.8314661471,60331.5969388
0,1372372420.18,76.1628434128,118122.739796
0,1372372420.92,75.2620732909,123412.168367
0,1372372422.03,75.2620732909,123412.168367
0,1372372423.14,0,0.0
0,1372372423.88,0,0.0
0,1372372424.99,0,0.0
0,1372372426.1,0,0.0
0,1372372426.84,0,0.0
0,1372372427.95,0,0.0
0,1372372429.06,0,0.0
