"Device","Time","HR","HRV15"
0,0.502426862717,57.1389701381,16683.0663265
0,2.35143494606,56.3720555667,16048.372449
0,4.20050692558,55.0134258956,12101.5153061
0,6.42031002045,54.5986350341,9901.6377551
0,8.27032995224,55.9962669155,10081.9642857
0,10.4899549484,56.3569272056,10463.5153061
0,12.3403630257,55.6844547564,8315.39285714
0,14.1902060509,56.1459795468,5455.51530612
0,16.4099700451,56.9067136373,4885.22959184
0,18.260571003,57.975015529,5679.92346939
0,20.480340004,57.4044966856,7706.45408163
0,22.3303658962,56.9684638861,6855.0255102
0,24.1802968979,56.2211364701,7915.88265306
0,26.400094986,54.9990178747,7305.06632653
0,28.2503349781,60.5318152338,51953.5969388
