"Device","Time","HR","HRV15"
0,1360090250.94,66.1365246831,1309.0255102
0,1360090251.31,66.8098305894,1407.06632653
0,1360090252.42,67.0658682635,1059.80102041
0,1360090253.53,66.958947788,1147.35204082
0,1360090254.27,66.8310923701,1168.16836735
0,1360090255.39,66.5135798559,1665.92346939
1,1360090255.76,15.5647791284,17651431.2653
0,1360090256.49,66.5557404326,1655.39285714
1,1360090257.23,15.5647791284,17651431.2653
0,1360090257.6,67.0016750419,2045.39285714
1,1360090257.61,15.5647791284,17651431.2653
0,1360090258.35,67.2807368843,1931.31122449
1,1360090258.71,15.5647791284,17651431.2653
0,1360090259.45,67.130184608,1920.16836735
1,1360090259.82,15.5647791284,17651431.2653
0,1360090260.2,66.7673475876,1422.65816327
1,1360090260.93,15.5647791284,17651431.2653
0,1360090261.3,66.7037242913,1405.39285714
1,1360090262.41,14.1509433962,17180456.5714
0,1360090262.41,66.7673475876,1427.80102041
1,1360090262.78,14.1509433962,17180456.5714
0,1360090263.15,66.873656556,1464.73979592
1,1360090263.89,13.9054429877,16735291.8367
0,1360090264.26,67.2161318716,2222.94387755
1,1360090264.63,13.8971610085,16717363.102
0,1360090265.37,68.4652375907,2667.80102041
1,1360090265.74,13.7795275591,16441534.7755
0,1360090266.85,68.5770266961,2583.92346939
1,1360090266.85,13.5733445367,15930505.2449
0,1360090267.22,68.3983388975,3168.73979592
1,1360090267.96,16.614581273,12570712.9184
0,1360090268.33,68.1099489175,3569.35204082
1,1360090268.7,16.614581273,12570712.9184
0,1360090269.45,66.958947788,4826.20918367
1,1360090269.81,16.614581273,12570712.9184
0,1360090270.18,66.5557404326,5067.39285714
1,1360090270.92,16.614581273,12570712.9184
0,1360090271.66,66.2408327419,5327.59693878
1,1360090271.66,16.614581273,12570712.9184
0,1360090272.4,66.6190816084,5946.94387755
1,1360090272.77,0,0.0
0,1360090273.14,67.0872933472,6368.08673469
1,1360090273.88,0,0.0
0,1360090274.25,67.5621330331,6873.6377551
1,1360090274.63,0,0.0
0,1360090275.73,68.6667211641,8471.59693878
1,1360090275.73,0,0.0
0,1360090276.47,68.6218446205,8368.65816327
1,1360090276.84,0,0.0
0,1360090277.21,68.7566505689,8678.94387755
0,1360090278.32,68.6667211641,8612.16836735
1,1360090278.69,0,0.0
0,1360090279.43,69.6228760879,7069.31122449
1,1360090279.8,0,0.0
0,1360090280.17,69.9475393455,6499.59693878
1,1360090280.91,0,0.0
0,1360090281.28,71.204543528,4083.22959184
1,1360090281.65,0,0.0
0,1360090282.39,71.9362850047,3043.6377551
1,1360090283.13,0,0.0
0,1360090283.13,72.4575174674,1952.49489796
1,1360090283.87,0,0.0
0,1360090284.24,72.0349884229,2054.49489796
1,1360090284.61,84.8656294201,614006.142857
0,1360090285.35,71.7151882524,2137.80102041
1,1360090285.72,94.0860215054,630381.632653
0,1360090286.46,70.796460177,2142.53571429
1,1360090286.83,91.7832167832,623046.77551
0,1360090287.2,69.7616477037,1871.35204082
0,1360090288.31,69.1642651297,1517.96428571
1,1360090288.68,91.1062906725,620785.959184
0,1360090289.42,68.509909469,811.31122449
1,1360090289.79,160.06097561,33377.5510204
0,1360090290.16,68.5994283381,882.658163265
1,1360090290.9,144.877543981,43631.122449
0,1360090291.27,69.0505548705,937.352040816
1,1360090291.64,138.888888889,44858.2857143
0,1360090292.38,69.4616720417,1433.59693878
1,1360090292.75,123.930362939,52583.6938776
0,1360090293.86,69.3012127712,1326.45408163
1,1360090293.86,124.629080119,57405.9591837
0,1360090294.23,69.4616720417,1485.59693878
1,1360090294.6,126.050420168,53244.5714286
0,1360090295.71,69.141493127,1823.31122449
1,1360090295.71,117.647058824,63104.5714286
0,1360090296.82,68.5770266961,2589.6377551
1,1360090296.82,102.890739833,57298.122449
0,1360090297.19,68.154158215,2940.94387755
1,1360090297.93,97.947761194,52362.5306122
0,1360090298.67,67.8458929004,3234.08673469
1,1360090298.67,90.0900900901,54362.2857143
0,1360090299.78,67.8458929004,3234.08673469
1,1360090299.78,84.1514726508,43975.2857143
0,1360090300.89,69.7384806974,5387.22959184
1,1360090300.89,83.6153693012,45042.3877551
0,1360090301.27,70.5585888282,6154.37244898
1,1360090301.63,81.316553727,45297.4081633
0,1360090302.37,70.0642255401,6450.08673469
1,1360090303.85,76.9371679795,29433.4081633
1,1360090303.85,75.0133952492,29855.122449
0,1360090304.59,66.4925195915,14040.6581633
1,1360090304.59,70.7785642063,6999.91836735
0,1360090305.33,65.4970760234,16283.9234694
1,1360090306.44,70.0233411137,5678.12244898
0,1360090306.44,64.5706818357,16845.3112245
1,1360090306.81,70.0934579439,5744.0
0,1360090307.18,63.4584875727,16442.8214286
1,1360090307.92,70.0934579439,5744.0
0,1360090308.29,63.3245382586,16456.8214286
1,1360090308.66,69.3069306931,4561.63265306
0,1360090309.77,63.1721440927,16650.4540816
1,1360090309.77,68.5826257348,3879.83673469
0,1360090310.51,63.1911532385,16652.5357143
1,1360090310.88,69.1699604743,2262.53061224
0,1360090311.25,63.1911532385,16652.5357143
1,1360090311.62,69.7674418605,2377.14285714
0,1360090312.36,62.8131309355,16145.5969388
1,1360090313.84,69.9533644237,2426.7755102
1,1360090313.84,71.1141212326,4462.7755102
0,1360090314.21,61.5069195284,9971.10714286
1,1360090314.58,70.6594885599,5066.12244898
0,1360090315.69,60.8122782886,6492.94387755
1,1360090315.69,70.351758794,5442.69387755
0,1360090316.43,60.5667315596,6167.80102041
1,1360090316.8,71.1623178584,5364.97959184
0,1360090317.17,61.2021857923,4491.22959184
1,1360090317.91,73.477956613,12495.6734694
0,1360090318.28,61.6694809485,3312.20918367
1,1360090319.39,78.8288288288,30963.2653061
0,1360090319.39,62.3469160543,2353.22959184
1,1360090319.76,83.8658146965,37195.1020408
0,1360090320.13,64.4122383253,3598.53571429
1,1360090320.87,85.0891410049,34197.5510204
0,1360090321.24,65.1718519668,4425.22959184
1,1360090321.61,86.0303154445,33445.9591837
0,1360090322.35,66.0117878193,4185.92346939
1,1360090322.72,86.8127325341,41483.8367347
0,1360090323.46,66.1990700607,4091.51530612
1,1360090323.83,106.275303644,44431.6734694
0,1360090324.21,66.1365246831,4170.73979592
1,1360090325.68,121.177149452,47396.4081633
0,1360090325.68,65.8462020851,4705.0255102
