"Device","Time","HR","HRV15"
1,1358514522.66,138.682516097,60258.9438776
1,1358514523.03,93.4475470019,566507.637755
1,1358514524.14,79.5680591077,646459.637755
1,1358514525.25,83.193027632,665963.596939
1,1358514526.36,87.236473154,683085.02551
1,1358514527.11,88.411746132,678261.515306
1,1358514528.21,89.3141945774,686271.311224
0,1358514528.57,83.899320815,713.551020408
1,1358514528.95,83.4575260805,672189.066327
0,1358514530.06,83.56545961,1135.42857143
1,1358514530.06,78.2924783298,652113.229592
0,1358514530.42,83.9664134346,945.387755102
1,1358514531.17,69.7384806974,599270.086735
0,1358514531.53,83.899320815,964.979591837
1,1358514531.92,87.783467447,174080.25
0,1358514532.28,82.8729281768,852.571428571
1,1358514533.38,96.673955576,74744.6581633
0,1358514533.39,82.8729281768,852.571428571
0,1358514534.49,82.8075709779,840.816326531
1,1358514534.5,92.745942365,70540.494898
1,1358514535.24,90.8992533276,74259.9234694
0,1358514535.6,82.8729281768,868.571428571
1,1358514535.98,92.745942365,69121.0663265
0,1358514536.35,83.0696202532,906.775510204
1,1358514537.1,91.0964103676,71304.9438776
0,1358514537.45,82.3852491173,1203.34693878
1,1358514538.2,84.5325550971,59520.1683673
0,1358514538.57,81.8713450292,1216.40816327
1,1358514538.94,84.6347607053,59244.7806122
1,1358514540.05,84.4645550528,59711.5153061
0,1358514540.42,82.2561692127,895.102040816
1,1358514541.16,85.0116384981,57993.3112245
0,1358514541.53,82.3529411765,893.387755102
1,1358514542.27,82.9302004147,61800.8214286
0,1358514542.63,82.7749310209,926.12244898
1,1358514543.38,86.4108630799,62204.6581633
0,1358514543.38,82.4175824176,797.714285714
1,1358514544.12,85.1495184997,64333.8010204
0,1358514544.48,81.8713450292,948.979591837
1,1358514545.23,80.0838974163,46244.1683673
0,1358514545.6,80.7692307692,894.693877551
1,1358514545.97,80.4212541886,45506.494898
0,1358514546.33,79.8782807151,1076.97959184
1,1358514547.08,76.6353434906,25425.0663265
0,1358514547.45,80.0,1018.85714286
1,1358514548.56,87.6735205093,44348.9438776
0,1358514548.56,79.9390940236,1025.3877551
1,1358514549.66,96.7630457321,50273.6377551
0,1358514549.67,80.3366488141,1264.97959184
1,1358514550.04,106.693763495,40826.372449
0,1358514550.4,88.7761572606,25529.4081633
1,1358514551.15,101.192627394,43232.7806122
0,1358514551.52,94.6585530764,32177.4081633
0,1358514552.62,95.8685231682,31503.122449
1,1358514553.0,96.5406275141,45063.3928571
0,1358514553.37,100.166944908,27133.0
1,1358514554.12,96.629471989,44822.494898
0,1358514555.22,104.764280369,21909.4897959
1,1358514555.22,94.0754843767,52725.8826531
0,1358514555.59,122.057541412,16732.6734694
