Start time: 1372861807.83, Players: 1
End time: 1372861818.81, Score: 400
Player,Time,HR
Black,2013-07-03 10:30:07.911365,61.7426338196
Black,2013-07-03 10:30:08.011773,61.7113304138
Black,2013-07-03 10:30:08.105477,61.690158844
Black,2013-07-03 10:30:08.201192,61.6559143066
Black,2013-07-03 10:30:08.291923,61.6415596008
Black,2013-07-03 10:30:08.381517,61.6188621521
Black,2013-07-03 10:30:08.475079,61.602142334
Black,2013-07-03 10:30:08.573666,61.5780181885
Black,2013-07-03 10:30:08.668973,61.5503997803
Black,2013-07-03 10:30:08.771919,61.5097007751
Black,2013-07-03 10:30:08.870800,61.4780311584
Black,2013-07-03 10:30:08.961695,61.4520721436
Black,2013-07-03 10:30:09.061726,61.4261703491
Black,2013-07-03 10:30:09.167963,61.3924407959
Black,2013-07-03 10:30:09.261955,61.3631591797
Black,2013-07-03 10:30:09.362453,61.3380737305
Black,2013-07-03 10:30:09.456224,61.3142738342
Black,2013-07-03 10:30:09.554786,61.2945671082
Black,2013-07-03 10:30:09.648284,61.2644081116
Black,2013-07-03 10:30:09.744273,61.2353515625
Black,2013-07-03 10:30:09.844438,61.2034263611
Black,2013-07-03 10:30:09.937012,61.1828613281
Black,2013-07-03 10:30:10.032096,61.1582641602
Black,2013-07-03 10:30:10.115592,61.1500701904
Black,2013-07-03 10:30:10.209298,61.1375808716
Black,2013-07-03 10:30:10.306902,62.7302742004
Black,2013-07-03 10:30:10.403091,61.1162605286
Black,2013-07-03 10:30:10.503816,61.1176223755
Black,2013-07-03 10:30:10.608041,61.1087417603
Black,2013-07-03 10:30:10.704510,61.1044883728
Black,2013-07-03 10:30:10.801131,61.106388092
Black,2013-07-03 10:30:10.900145,61.1100959778
Black,2013-07-03 10:30:10.992653,61.1214485168
Black,2013-07-03 10:30:11.094925,61.113822937
Black,2013-07-03 10:30:11.191830,62.6994132996
Black,2013-07-03 10:30:11.283189,62.6853942871
Black,2013-07-03 10:30:11.377740,62.6703453064
Black,2013-07-03 10:30:11.478765,62.6266441345
Black,2013-07-03 10:30:11.578024,62.6007003784
Black,2013-07-03 10:30:11.680635,62.5701789856
Black,2013-07-03 10:30:11.777029,62.5473937988
Black,2013-07-03 10:30:11.875085,62.5306854248
Black,2013-07-03 10:30:11.976916,62.4956703186
Black,2013-07-03 10:30:12.072460,62.4608039856
Black,2013-07-03 10:30:12.163997,62.4384422302
Black,2013-07-03 10:30:12.261877,62.421749115
Black,2013-07-03 10:30:12.354937,62.396270752
Black,2013-07-03 10:30:12.452945,62.3617401123
Black,2013-07-03 10:30:12.552508,62.3395690918
Black,2013-07-03 10:30:12.645067,62.3260192871
Black,2013-07-03 10:30:12.741534,62.339515686
Black,2013-07-03 10:30:12.840339,62.3361053467
Black,2013-07-03 10:30:12.939599,62.3138504028
Black,2013-07-03 10:30:13.035404,62.2826843262
Black,2013-07-03 10:30:13.137776,62.2577438354
Black,2013-07-03 10:30:13.233197,62.2357826233
Black,2013-07-03 10:30:13.324335,62.2243156433
Black,2013-07-03 10:30:13.416622,62.2322731018
Black,2013-07-03 10:30:13.505148,62.2354812622
Black,2013-07-03 10:30:13.609304,62.2312774658
Black,2013-07-03 10:30:13.702154,62.2197608948
Black,2013-07-03 10:30:13.797005,62.2124061584
Black,2013-07-03 10:30:13.895486,62.1941223145
Black,2013-07-03 10:30:13.999059,62.1749458313
Black,2013-07-03 10:30:14.093082,62.1722602844
Black,2013-07-03 10:30:14.187070,62.1797828674
Black,2013-07-03 10:30:14.291339,62.1594047546
Black,2013-07-03 10:30:14.398051,62.1087493896
Black,2013-07-03 10:30:14.498774,62.0661506653
Black,2013-07-03 10:30:14.594736,62.044708252
Black,2013-07-03 10:30:14.694403,62.0317726135
Black,2013-07-03 10:30:14.787108,62.0198707581
Black,2013-07-03 10:30:14.887054,62.0305252075
Black,2013-07-03 10:30:14.986065,62.017993927
Black,2013-07-03 10:30:15.077662,62.0322875977
Black,2013-07-03 10:30:15.177393,62.0239028931
Black,2013-07-03 10:30:15.280437,62.0110206604
Black,2013-07-03 10:30:15.376408,61.9877853394
Black,2013-07-03 10:30:15.469371,61.9906272888
Black,2013-07-03 10:30:15.567493,61.9821090698
Black,2013-07-03 10:30:15.660449,61.9629211426
