Start time: 1380752639.64, Players: 2
End time: 1380752715.92, Score: -1300
Player,Time,HR
Green,2013-10-02 18:25:07.814442,159.0
Green,2013-10-02 18:25:08.182969,71.0
Green,2013-10-02 18:25:08.923419,74.0
Green,2013-10-02 18:25:09.287023,158.0
Green,2013-10-02 18:25:10.034836,75.0
Green,2013-10-02 18:25:10.398798,158.0
Green,2013-10-02 18:25:10.774637,158.0
Green,2013-10-02 18:25:11.143357,73.0
Green,2013-10-02 18:25:11.885041,72.0
Green,2013-10-02 18:25:12.247097,158.0
Green,2013-10-02 18:25:12.993334,71.0
Green,2013-10-02 18:25:13.358138,158.0
Green,2013-10-02 18:25:13.738619,159.0
Green,2013-10-02 18:25:14.103165,71.0
Green,2013-10-02 18:25:14.845446,159.0
Green,2013-10-02 18:25:15.213078,74.0
