Start time: 1380742932.57, Players: 1
End time: 1380742948.74, Score: -200
Player,Time,HR
Green,2013-10-02 15:42:12.862682,63.0
Green,2013-10-02 15:42:13.605947,64.0
Green,2013-10-02 15:42:14.713992,66.0
Green,2013-10-02 15:42:15.821502,65.0
Green,2013-10-02 15:42:16.561497,64.0
Green,2013-10-02 15:42:17.671694,63.0
Green,2013-10-02 15:42:18.781537,63.0
Green,2013-10-02 15:42:19.524333,63.0
Green,2013-10-02 15:42:20.631540,63.0
Green,2013-10-02 15:42:21.742109,62.0
Green,2013-10-02 15:42:22.851328,62.0
Green,2013-10-02 15:42:23.591505,62.0
Green,2013-10-02 15:42:24.701800,68.0
Green,2013-10-02 15:42:25.811866,74.0
Green,2013-10-02 15:42:26.552310,80.0
Green,2013-10-02 15:42:27.662306,85.0
