Start time: 1375454841.41, Players: 1
End time: 1375455076.66, Score: 3400
Player,Time,HR
Black,2013-08-02 10:47:32.126413,56.1796722412
Black,2013-08-02 10:47:32.214140,64.0397720337
Black,2013-08-02 10:47:32.312895,51.6061248779
Black,2013-08-02 10:47:32.412260,51.4845581055
Black,2013-08-02 10:47:32.507242,53.0198783875
Black,2013-08-02 10:47:32.597816,56.0956840515
Black,2013-08-02 10:47:32.682715,61.0836868286
Black,2013-08-02 10:47:32.775098,68.5959854126
Black,2013-08-02 10:47:32.865504,70.7025527954
Black,2013-08-02 10:47:32.951806,73.2990646362
Black,2013-08-02 10:47:33.041334,75.9646911621
Black,2013-08-02 10:47:33.127207,75.8247528076
Black,2013-08-02 10:47:33.213576,52.462184906
Black,2013-08-02 10:47:33.296535,56.509147644
Black,2013-08-02 10:47:33.381337,64.3023757935
Black,2013-08-02 10:47:33.468694,79.4866790771
Black,2013-08-02 10:47:33.551771,56.9850921631
Black,2013-08-02 10:47:33.646266,68.8617553711
Black,2013-08-02 10:47:33.732532,69.2065429688
Black,2013-08-02 10:47:33.817283,77.2092285156
Black,2013-08-02 10:47:33.900298,77.617149353
Black,2013-08-02 10:47:33.984701,87.1829299927
Black,2013-08-02 10:47:34.069462,116.273635864
Black,2013-08-02 10:47:34.154619,116.273635864
Black,2013-08-02 10:47:34.240884,116.273635864
Black,2013-08-02 10:47:34.330503,116.273635864
Black,2013-08-02 10:47:34.426220,116.273635864
Black,2013-08-02 10:47:34.515734,116.273635864
Black,2013-08-02 10:47:34.615818,116.273635864
Black,2013-08-02 10:47:34.744507,116.273635864
Black,2013-08-02 10:47:34.840155,145.650894165
Black,2013-08-02 10:47:34.921558,119.437705994
Black,2013-08-02 10:47:35.008638,121.661895752
Black,2013-08-02 10:47:35.100065,153.511932373
Black,2013-08-02 10:47:35.195170,153.511932373
Black,2013-08-02 10:47:35.280888,153.511932373
Black,2013-08-02 10:47:35.368018,153.511932373
Black,2013-08-02 10:47:35.463174,153.511932373
Black,2013-08-02 10:47:35.559758,153.511932373
Black,2013-08-02 10:47:35.649051,153.511932373
Black,2013-08-02 10:47:35.751863,153.511932373
Black,2013-08-02 10:47:35.849088,153.511932373
Black,2013-08-02 10:47:35.939671,155.642425537
Black,2013-08-02 10:47:36.034292,126.389213562
Black,2013-08-02 10:47:36.124645,105.336883545
Black,2013-08-02 10:47:36.214638,91.608795166
Black,2013-08-02 10:47:36.303953,80.2354736328
Black,2013-08-02 10:47:36.394294,71.4146347046
Black,2013-08-02 10:47:36.487878,64.4021987915
Black,2013-08-02 10:47:36.582877,58.5190620422
Black,2013-08-02 10:47:36.673866,53.7297897339
Black,2013-08-02 10:47:36.768950,148.247329712
Black,2013-08-02 10:47:36.870709,137.08164978
Black,2013-08-02 10:47:36.974769,127.349693298
Black,2013-08-02 10:47:37.067372,118.908805847
