Start time: 1374673448.16, Players: 1
End time: 1374673478.1, Score: 400
Player,Time,HR
Black,2013-07-24 09:44:08.254996,52.3130378723
Black,2013-07-24 09:44:08.329486,70.8740844727
Black,2013-07-24 09:44:08.405075,70.8740768433
Black,2013-07-24 09:44:08.480187,70.8770370483
Black,2013-07-24 09:44:08.594876,70.8199768066
Black,2013-07-24 09:44:08.687777,70.799987793
Black,2013-07-24 09:44:08.775449,70.8314437866
Black,2013-07-24 09:44:08.860990,70.8222198486
Black,2013-07-24 09:44:08.943031,70.8111953735
Black,2013-07-24 09:44:09.026258,70.798828125
Black,2013-07-24 09:44:09.111137,70.7830200195
Black,2013-07-24 09:44:09.195763,70.7652511597
Black,2013-07-24 09:44:09.278809,70.7969436646
Black,2013-07-24 09:44:09.358550,70.806427002
Black,2013-07-24 09:44:09.441545,70.8000106812
Black,2013-07-24 09:44:09.526207,70.8065872192
Black,2013-07-24 09:44:09.618769,70.8184127808
Black,2013-07-24 09:44:09.695512,70.8494949341
Black,2013-07-24 09:44:09.768195,70.8907852173
Black,2013-07-24 09:44:09.849813,70.9132919312
Black,2013-07-24 09:44:09.960673,70.8617095947
Black,2013-07-24 09:44:10.052266,70.847442627
Black,2013-07-24 09:44:10.147452,70.8508377075
Black,2013-07-24 09:44:10.232516,70.8684310913
Black,2013-07-24 09:44:10.324058,70.867515564
Black,2013-07-24 09:44:10.437047,70.8245010376
Black,2013-07-24 09:44:10.532055,70.801651001
Black,2013-07-24 09:44:10.620999,70.7912216187
Black,2013-07-24 09:44:10.713859,70.7762298584
Black,2013-07-24 09:44:10.801682,70.8033981323
Black,2013-07-24 09:44:10.890578,70.8082046509
Black,2013-07-24 09:44:10.980868,70.8004684448
Black,2013-07-24 09:44:11.072201,70.7802505493
Black,2013-07-24 09:44:11.161426,70.7715835571
Black,2013-07-24 09:44:11.248292,70.7814788818
Black,2013-07-24 09:44:11.334721,70.7755737305
Black,2013-07-24 09:44:11.424914,70.7586212158
Black,2013-07-24 09:44:11.520568,70.7139587402
Black,2013-07-24 09:44:11.625460,70.6564407349
Black,2013-07-24 09:44:11.716132,70.6101455688
Black,2013-07-24 09:44:11.803661,70.5815124512
Black,2013-07-24 09:44:11.892451,70.5582427979
Black,2013-07-24 09:44:11.982421,70.5476455688
Black,2013-07-24 09:44:12.070660,70.5362701416
Black,2013-07-24 09:44:12.185357,70.4612960815
Black,2013-07-24 09:44:12.276732,70.4187698364
Black,2013-07-24 09:44:12.375400,70.3709945679
Black,2013-07-24 09:44:12.463830,70.3502197266
Black,2013-07-24 09:44:12.552840,70.3274536133
Black,2013-07-24 09:44:12.639854,70.307723999
Black,2013-07-24 09:44:12.735948,70.3106613159
Black,2013-07-24 09:44:12.823706,70.2953262329
Black,2013-07-24 09:44:12.920022,70.2667312622
Black,2013-07-24 09:44:13.011514,70.2376480103
Black,2013-07-24 09:44:13.111809,70.2598190308
Black,2013-07-24 09:44:13.196702,70.2839431763
Black,2013-07-24 09:44:13.281031,70.3100585938
Black,2013-07-24 09:44:13.365315,70.345123291
Black,2013-07-24 09:44:13.450712,70.4086608887
Black,2013-07-24 09:44:13.535100,70.4753265381
Black,2013-07-24 09:44:13.622397,70.4802474976
Black,2013-07-24 09:44:13.704754,70.4792327881
Black,2013-07-24 09:44:13.786824,70.4866333008
Black,2013-07-24 09:44:13.876055,70.4760131836
Black,2013-07-24 09:44:13.967156,70.4521865845
Black,2013-07-24 09:44:14.061082,70.4276123047
Black,2013-07-24 09:44:14.149380,70.4118499756
Black,2013-07-24 09:44:14.240067,53.6481742859
Black,2013-07-24 09:44:14.321177,70.4222106934
Black,2013-07-24 09:44:14.412362,70.4160003662
Black,2013-07-24 09:44:14.495209,70.4118881226
Black,2013-07-24 09:44:14.576924,70.4216537476
Black,2013-07-24 09:44:14.659530,70.4155578613
Black,2013-07-24 09:44:14.737982,70.4162750244
Black,2013-07-24 09:44:14.820023,70.4035339355
Black,2013-07-24 09:44:14.900939,70.4094238281
Black,2013-07-24 09:44:14.982711,70.4206008911
Black,2013-07-24 09:44:15.063909,53.6486587524
Black,2013-07-24 09:44:15.151493,53.6490097046
Black,2013-07-24 09:44:15.238637,53.6564178467
Black,2013-07-24 09:44:15.325274,53.6575546265
Black,2013-07-24 09:44:15.405445,70.43699646
Black,2013-07-24 09:44:15.488412,70.4836502075
Black,2013-07-24 09:44:15.567925,70.5019073486
Black,2013-07-24 09:44:15.653273,70.5002975464
Black,2013-07-24 09:44:15.737712,70.5000610352
Black,2013-07-24 09:44:15.824044,70.5224685669
Black,2013-07-24 09:44:15.909585,70.5130767822
Black,2013-07-24 09:44:16.001209,70.530166626
Black,2013-07-24 09:44:16.091392,53.7202224731
Black,2013-07-24 09:44:16.223154,53.664768219
Black,2013-07-24 09:44:16.306961,53.6315040588
Black,2013-07-24 09:44:16.403046,53.6058692932
Black,2013-07-24 09:44:16.490876,53.5913009644
Black,2013-07-24 09:44:16.574944,53.6051635742
Black,2013-07-24 09:44:16.659167,72.0553131104
Black,2013-07-24 09:44:16.750493,72.0478744507
Black,2013-07-24 09:44:16.834555,72.0191879272
Black,2013-07-24 09:44:16.920307,72.006401062
Black,2013-07-24 09:44:17.019744,72.0213012695
Black,2013-07-24 09:44:17.100203,71.9949874878
Black,2013-07-24 09:44:17.194516,71.9677734375
Black,2013-07-24 09:44:17.279952,53.5572624207
Black,2013-07-24 09:44:17.363436,53.5626106262
Black,2013-07-24 09:44:17.448656,53.5875587463
Black,2013-07-24 09:44:17.546536,53.5754089355
Black,2013-07-24 09:44:17.641642,71.9478988647
Black,2013-07-24 09:44:17.726216,71.9086837769
Black,2013-07-24 09:44:17.817779,71.8816757202
Black,2013-07-24 09:44:17.899471,71.8631439209
Black,2013-07-24 09:44:17.984751,71.8364944458
Black,2013-07-24 09:44:18.073325,71.8181381226
Black,2013-07-24 09:44:18.162266,71.7891082764
Black,2013-07-24 09:44:18.249324,71.7559814453
Black,2013-07-24 09:44:18.340071,71.7344665527
Black,2013-07-24 09:44:18.427784,71.7049026489
Black,2013-07-24 09:44:18.510216,71.6918182373
Black,2013-07-24 09:44:18.594635,71.6696853638
Black,2013-07-24 09:44:18.679124,71.6484298706
Black,2013-07-24 09:44:18.763000,71.6291885376
Black,2013-07-24 09:44:18.846268,71.6116256714
Black,2013-07-24 09:44:18.930274,71.5890960693
Black,2013-07-24 09:44:19.010459,71.5803909302
Black,2013-07-24 09:44:19.100627,71.558555603
Black,2013-07-24 09:44:19.186482,71.5375366211
Black,2013-07-24 09:44:19.269937,71.514175415
Black,2013-07-24 09:44:19.345922,71.506652832
Black,2013-07-24 09:44:19.430122,71.487953186
Black,2013-07-24 09:44:19.514435,71.4719009399
Black,2013-07-24 09:44:19.601457,71.4607086182
Black,2013-07-24 09:44:19.689832,71.4281616211
Black,2013-07-24 09:44:19.775930,71.4101486206
Black,2013-07-24 09:44:19.861489,71.3917312622
Black,2013-07-24 09:44:19.947567,71.3655929565
Black,2013-07-24 09:44:20.030515,71.3395385742
Black,2013-07-24 09:44:20.115397,71.3196487427
Black,2013-07-24 09:44:20.207202,71.2866821289
Black,2013-07-24 09:44:20.296508,71.2639083862
Black,2013-07-24 09:44:20.380268,71.2410736084
Black,2013-07-24 09:44:20.468326,71.2150878906
Black,2013-07-24 09:44:20.563429,71.1802215576
